Mileage,Dealer_Name,Rating,Review_Count,Price,Year,Variant
44050,Mercedes-Benz of Walnut Creek,4.4,1030,45988,2021,GLE 350 Base
11080,Mercedes-Benz of Newton,4.7,256,42000,2021,GLC 300 Base 4MATIC
10715,Fletcher Jones Motorcars - Newport Beach,4.9,5350,37892,2019,GLC 350e Base 4MATIC
4597,Mercedes-Benz of Scarborough,4.5,543,42290,2023,CLA 250 Base 4MATIC
26801,Mercedes-Benz of San Antonio,4.9,1987,35995,2021,C-Class C 300
7260,Mercedes-Benz of Pleasanton,2.8,63,205952,2022,AMG G 63 4MATIC
27688,Mercedes-Benz of Catonsville,4.3,494,42500,2021,AMG A 35 Base
40267,Mercedes-Benz of Atlanta Northeast,4.7,2049,38927,2020,E-Class E 350
44146,Mercedes-Benz of Knoxville,4.7,339,63000,2021,GLE 450 AWD 4MATIC
39043,Mercedes-Benz of Loveland,4.7,672,28500,2019,GLA 250 Base 4MATIC
23524,Mercedes-Benz of Naples,4.7,1523,42105,2021,GLC 300 Base 4MATIC
19215,Mercedes-Benz of Omaha,4.3,420,32000,2020,GLA 250 Base 4MATIC
4918,Mercedes-Benz of Kansas City,4.7,774,54000,2023,GLB 250 Base 4MATIC
3739,Mercedes-Benz of South Bay,4.5,1883,86085,2022,AMG GLE 53 Base
8385,Mercedes-Benz of Naples,4.7,1523,45799,2022,GLC 300 Base 4MATIC
6241,Mercedes-Benz of San Jose,4.6,917,66955,2022,E-Class E 450 4MATIC
2457,Mercedes-Benz of Scarborough,4.5,543,65974,2023,C-Class C 300 4MATIC
26438,Mercedes-Benz of Nashville,4.5,931,48496,2019,CLS 450 Base
21467,Mercedes-Benz of Springfield,4.9,102,42143,2021,AMG GLA 45 Base
15142,Mercedes-Benz of Houston North,4.5,1791,58991,2022,AMG GLC 43 Base 4MATIC
24609,Mercedes-Benz of Houston Greenway,4.8,2720,57998,2020,AMG GLC 43 4MATIC Coupe
5944,Mercedes-Benz of Kansas City,4.7,774,50000,2023,GLB 250 Base 4MATIC
